Cn,Cp,J,a,ac,b,bc,V,dr,CT
0.00270231416177355,-0.00122793775354173,-Inf,2.00032479040206,2,0.005,0.005,40,0,0
-0.0118607206477673,-0.0125425551257947,-Inf,-0.996726871222231,-1,2,2,40,0,0
-0.0121789332216196,-0.013531844495597,-Inf,5.00320638016381,5,2,2,40,0,0
-0.0336176497166136,-0.0441330342313243,-Inf,-2.99478397020696,-3,5.005,5.005,40,0,0
-0.0336011670729793,-0.0396206560399663,-Inf,2.00032479040206,2,5.005,5.005,40,0,0
-0.0350716736153528,-0.0371875803040117,-Inf,7.00991590509934,7,5.005,5.005,40,0,0
-0.0544315607583706,-0.073169823112334,-Inf,-0.991726871222231,-1,8,8,40,0,0
-0.051017722488927,-0.0622520782239161,-Inf,5.00320638016381,5,8,8,40,0,0
-0.0630406230396341,-0.0789166004903863,-Inf,2.01032479040206,2,10,10,40,0,0
0.00273446423205547,-0.0022631386134622,-Inf,2.01032479040206,2,0.005,0.005,20,0,0
-0.0120525960284299,-0.0152235199338374,-Inf,-0.997726871222231,-1,2,2,20,0,0
-0.0131769951139728,-0.0147185738821506,-Inf,5.00220638016381,5,2,2,20,0,0
-0.0344287642751619,-0.0470700080868479,-Inf,-2.99478397020696,-3,5.005,5.005,20,0,0
-0.033648857054941,-0.0410265767665061,-Inf,2.00032479040206,2,5.005,5.005,20,0,0
-0.0349391144006558,-0.0383960275358933,-Inf,7.00991590509934,7,5.005,5.005,20,0,0
-0.0245916330984074,-0.0229612363221637,-Inf,-0.991726871222231,-1,8,8,20,0,0
-0.0199104817017838,-0.0182504686919319,-Inf,5.00320638016381,5,8,8,20,0,0
-0.0346107743323915,-0.0348986301084438,-Inf,2.01032479040206,2,10,10,20,0,0
-0.0134943433853694,-0.00843701562872983,-Inf,2.00032479040206,2,0.005,0.005,40,10,0
-0.0289106439813338,-0.0201171292836532,-Inf,-0.992726871222231,-1,2,2,40,10,0
-0.0259365164564344,-0.0192556798228726,-Inf,5.00320638016381,5,2,2,40,10,0
-0.050583951777182,-0.0523851488703058,-Inf,-2.99478397020696,-3,5.005,5.005,40,10,0
-0.0499026837408096,-0.0468256758530666,-Inf,2.00032479040206,2,5.005,5.005,40,10,0
-0.0493451367820644,-0.0430332466414809,-Inf,7.00991590509934,7,5.005,5.005,40,10,0
-0.0704453695777415,-0.080535717197918,-Inf,-0.991726871222231,-1,8,8,40,10,0
-0.0668590687919495,-0.069338485676398,-Inf,5.00320638016381,5,8,8,40,10,0
-0.078679523339392,-0.0857558689254106,-Inf,2.01032479040206,2,10,10,40,10,0
-0.0140849898887692,-0.00896975033820502,-Inf,2.01032479040206,2,0.005,0.005,20,10,0
-0.0299450126383119,-0.0238767867757201,-Inf,-0.997726871222231,-1,2,2,20,10,0
-0.0278034886840991,-0.0210230887957269,-Inf,5.00220638016381,5,2,2,20,10,0
-0.051137821602783,-0.0558310525556349,-Inf,-2.99478397020696,-3,5.005,5.005,20,10,0
-0.0501461842014168,-0.0485050694744662,-Inf,2.00032479040206,2,5.005,5.005,20,10,0
-0.0494856888474873,-0.0448901697269932,-Inf,7.00991590509934,7,5.005,5.005,20,10,0
-0.0402378454336567,-0.0304236460573628,-Inf,-0.991726871222231,-1,8,8,20,10,0
-0.0354748765818639,-0.0247966290094735,-Inf,5.00320638016381,5,8,8,20,10,0
-0.0502575086531993,-0.042226441986635,-Inf,2.01032479040206,2,10,10,20,10,0
-0.0464828662100835,-0.0517802166591977,1.5999679587453,2.00032479040206,2,4.995,4.995,20,10,0
-0.0252536177378035,-0.0250458580663555,1.67969851722326,-0.992726871222231,-1,2,2,20,10,0
-0.0229063110066181,-0.0220925883857443,1.67720590526613,5.00320638016381,5,2,2,20,10,0
-0.0396303057386212,-0.0360320145136095,1.68211242402378,-0.992726871222231,-1,8,8,20,10,0
-0.0353088881350018,-0.0300789581939733,1.67681665409832,5.00220638016381,5,8,8,20,10,0
-0.00948110607947906,-0.00944288921233095,1.79938240630262,2.01032479040206,2,0.005,0.005,20,10,0
-0.0499817349436344,-0.0585113893780984,1.80027855992286,-2.99978397020696,-3,4.995,4.995,20,10,0
-0.0490399441492339,-0.0518503694886091,1.79764192106409,2.00032479040206,2,4.995,4.995,20,10,0
-0.0481070008306473,-0.0472429710242803,1.79969703268438,7.00991590509934,7,4.995,4.995,20,10,0
-0.0451168628910281,-0.049505808289449,1.60008506501594,2.01032479040206,2,5.005,5.005,40,10,0
-0.0240762975394128,-0.0258221356546843,1.67845759585707,-0.997726871222231,-1,1.995,1.995,40,10,0
-0.0201461968254373,-0.0199638018421155,1.67990296178894,5.00320638016381,5,1.995,1.995,40,10,0
-0.0693280803738979,-0.0862012093308928,1.68013433720332,-0.992726871222231,-1,8,8,40,10,0
-0.0661933352666358,-0.0748021043261741,1.67944233710685,5.00220638016381,5,8,8,40,10,0
-0.00843730546503709,-0.00804999994130263,1.8000024904976,2.01032479040206,2,0.005,0.005,40,10,0
-0.0487695352809819,-0.0554883833068193,1.7999715503258,-2.99978397020696,-3,4.995,4.995,40,10,0
-0.0484010567580073,-0.0504639362030475,1.79946013662024,1.99932479040206,2,4.995,4.995,40,10,0
-0.0471221269737624,-0.0456305555646271,1.80043286997364,7.00991590509934,7,4.995,4.995,40,10,0
